District_Name,In_Sample,Quartile,Q1,Q2,Q3,Q4,Budget_2013_14,Funds_not_accounted_for,Procurement_issues,Payroll_Anomolies,Percent_Issues
Kiryandongo,,much worse ,0,0.000698011,0.003106976,0.018529966,"14,977,661,000",79136140,,,0.005284
Kisoro,yes,much better,0,0.000698011,0.003106976,0.018529966,"24,875,157,000",0,,0,0
Kitgum,,much better,0,0.000698011,0.003106976,0.018529966,"28,581,207,000",0,,,0
Koboko,,better,0,0.000698011,0.003106976,0.018529966,"15,024,409,000",5481700,,,0.000365
Kole,,worse ,0,0.000698011,0.003106976,0.018529966,"14,225,161,000",23265000,,,0.001635
Kotido,,better,0,0.000698011,0.003106976,0.018529966,"14,225,161,000",4269000,,,0.0003
Kumi,yes,much worse ,0,0.000698011,0.003106976,0.018529966,"20,074,662,000",2080000,,"64,778,922",0.003331
Kween,,worse ,0,0.000698011,0.003106976,0.018529966,"10,432,080,000",10060786,,,0.000964
Kyankwanzi,,much better,0,0.000698011,0.003106976,0.018529966,"12,292,892,000",0,,,0
Kyegegwa,yes,much better,0,0.000698011,0.003106976,0.018529966,"11,736,829,000",0,,0,0
Kyenjojo,,much worse ,0,0.000698011,0.003106976,0.018529966,"24,494,218,000",414526831,,,0.016923
Lamwo,,much better,0,0.000698011,0.003106976,0.018529966,"20,008,565,000",,,,0
Lira,,worse ,0,0.000698011,0.003106976,0.018529966,"29,097,430,000",67514220,,,0.00232
Luuka,,worse ,0,0.000698011,0.003106976,0.018529966,13752046000,22545035,,,0.001639
Luweero,,better,0,0.000698011,0.003106976,0.018529966,"36,981,664,000",12213166,,,0.00033
Lwengo,,worse ,0,0.000698011,0.003106976,0.018529966,"17,067,196,000",13491000,,,0.00079
Lyantonde,yes,much better,0,0.000698011,0.003106976,0.018529966,"8,745,882,000",0,,0,0
Manafwa,,much worse ,0,0.000698011,0.003106976,0.018529966,"27,038,753,000",240948244,,,0.008911
Maracha,,worse ,0,0.000698011,0.003106976,0.018529966,16862443000,22731339,,,0.001348
Masaka,,much better,0,0.000698011,0.003106976,0.018529966,"14,494,700,000",0,,,0
Masindi,,much better,0,0.000698011,0.003106976,0.018529966,"20,762,176,000",0,,,0
Mayuge,,much better,0,0.000698011,0.003106976,0.018529966,"28,867,926,000",0,,,0
Mbale,,better,0,0.000698011,0.003106976,0.018529966,"31,777,413,000",21381880,,,0.000673
Mbarara,,much better,0,0.000698011,0.003106976,0.018529966,"27,510,711,000",0,,,0
Mitooma,,much better,0,0.000698011,0.003106976,0.018529966,14676697000,0,,,0
Mityana,yes,better,0,0.000698011,0.003106976,0.018529966,"23,120,010,000",6913694,,0,0.000299
Moroto,,much better,0,0.000698011,0.003106976,0.018529966,"12,040,409,000",0,,,0
Moyo,yes,much better,0,0.000698011,0.003106976,0.018529966,"17,112,682,000",0,,0,0
Mpigi,yes,much worse ,0,0.000698011,0.003106976,0.018529966,"18,505,995,000",114566399,,0,0.006191
Mubende,,much better,0,0.000698011,0.003106976,0.018529966,"29,748,353,000",0,,,0
Mukono,,much better,0,0.000698011,0.003106976,0.018529966,"28,008,544,000",0,,,0
Nakapiripirit,yes,worse ,0,0.000698011,0.003106976,0.018529966,"16,683,643,000",11122580,,"12,184,237",0.001397
Nakaseke,,much better,0,0.000698011,0.003106976,0.018529966,"23,101,973,000",0,,,0
Nakasongola,yes,much better,0,0.000698011,0.003106976,0.018529966,"16,945,296,000",0,,0,0
Namayingo,,much worse ,0,0.000698011,0.003106976,0.018529966,"13,252,767,000",78371783,,,0.005914
Namutumba,yes,worse ,0,0.000698011,0.003106976,0.018529966,"14,152,054,000",14887620,,0,0.001052
Napak,,worse ,0,0.000698011,0.003106976,0.018529966,"11,134,999,000",23020000,,,0.002067
Nebbi,,better,0,0.000698011,0.003106976,0.018529966,"28,640,340,000",16405900,,,0.000573
Ngora,,worse ,0,0.000698011,0.003106976,0.018529966,"14,519,807,000",11537263,,,0.000795
Ntoroko,,much better,0,0.000698011,0.003106976,0.018529966,"9,770,429,000",0,,,0
Ntungamo,,much worse ,0,0.000698011,0.003106976,0.018529966,"33,598,625,000",448427698,,,0.013347
Nwoya,,much better,0,0.000698011,0.003106976,0.018529966,"30,498,520,000",0,,,0
Otuke,,worse ,0,0.000698011,0.003106976,0.018529966,"11,612,166,000",28094350,,,0.002419
Oyam,,much worse ,0,0.000698011,0.003106976,0.018529966,"30,790,010,000",435768002,,,0.014153
Pader,,much worse ,0,0.000698011,0.003106976,0.018529966,"21,674,974,000",124451252,,,0.005742
Pallisa,yes,worse ,0,0.000698011,0.003106976,0.018529966,"26,961,066,000",75452280,,0,0.002799
Rakai,,better,0,0.000698011,0.003106976,0.018529966,"39,537,175,000",14112000,,,0.000357
Rubirizi,,much worse ,0,0.000698011,0.003106976,0.018529966,"8,976,078,000",28400384,,,0.003164
Rukungiri,,worse ,0,0.000698011,0.003106976,0.018529966,"5,384,855,000",4220750,,,0.000784
Ssembabule,,much worse ,0,0.000698011,0.003106976,0.018529966,"18,356,150,000",78938766,,,0.0043
Serere,,much better,0,0.000698011,0.003106976,0.018529966,"16,426,602,000",0,,,0
Sheema,,much better,0,0.000698011,0.003106976,0.018529966,"19,743,680,000",0,,,0
Sironko,yes,much worse ,0,0.000698011,0.003106976,0.018529966,"20,598,155,000",94083236,,0,0.004568
Soroti,,worse ,0,0.000698011,0.003106976,0.018529966,"20,151,087,000",46638678,,,0.002314
Tororo,,much worse ,0,0.000698011,0.003106976,0.018529966,"36,124,278,000",253999121,,,0.007031
Wakiso,,much better,0,0.000698011,0.003106976,0.018529966,"58,714,301,000",0,,,0
Yumbe,,worse ,0,0.000698011,0.003106976,0.018529966,"27,732,896,000",30000000,,,0.001082
Zombo,yes,much worse ,0,0.000698011,0.003106976,0.018529966,"14,492,829,000",50513800,,0,0.003485
