anon.id,incumbent_share_survey,number_votes,incumbent_share_official
243,0.888888889,9,0.762193071
244,0.96969697,33,0.733464739
245,0.7,20,0.412068561
246,1,6,0.502390438
247,0.909090909,11,0.527348395
248,0.7,30,0.28394178
249,0.75,12,0.535341485
250,0.666666667,9,0.845776376
251,0.153846154,13,0.153772866
252,0,18,0.384594223
253,0.9,20,1
254,0.071428571,14,0.320293399
255,0.9,10,0.617712506
256,0.911764706,34,0.746260388
257,0.913043478,23,0.57078853
258,0.9,20,0.561383676
259,0.4,5,0.236936937
260,1,6,0.640697674
261,0.88,25,0.424149956
262,0.727272727,33,0.490037695
263,0.818181818,22,0.538779257
264,0.705882353,17,0.287596321
265,0.5,2,0.367191744
266,0.666666667,9,0.60243218
267,0,7,NA
268,1,5,0.800960279
269,0.5625,16,0.432612842
270,0.857142857,35,0.419629444
271,0.333333333,6,0.313449024
272,0.263157895,19,0.333114969
273,0.40625,32,0.540999673
274,0,13,0.308287796
275,0.428571429,21,0.412326961
276,0.666666667,3,0.292893401
277,0.071428571,28,0.465226398
278,0.794871795,39,0.50660793
279,1,6,0.624284546
280,1,10,1
281,1,19,1
282,0.766666667,30,1
283,0.909090909,33,1
284,0.8,30,0.519303797
285,0.785714286,14,0.613903241
286,0.786516854,89,1
287,0.9,30,0.592566783
288,0.9375,32,1
289,0.785714286,28,1
